Materials,Stock,Duplicates,,
S180001504,0000000,1,,
S180001502,0000370,1,,
S166161070,0000000,1,,
S164070040,0000000,1,,
S160530008,0000046,1,,
S155600001,0001006,1,,
S153172420,0000109,1,,
S153111820,0000158,1,,
S152223020,0000119,1,,
S149100104,0000023,1,,
S149100103,0000300,1,,
S149100002,0000000,1,,
S149100001,0000000,1,,
S144000120,0000255,1,,
S144000075,0000117,1,,
S140003043,0000054,1,,
S135223020,0000285,1,,
S135081420,0000000,1,,
S135071110,0000000,1,,
S135051120,0000000,1,,
S12993,0000235,1,,
S129060910,0000000,1,,
S12780,0000159,1,,
S1254400,0000000,1,,
S1254300,0000000,1,,
S1254200,0000010,1,,
S1254100,0000000,1,,
S1254000,0000000,1,,
S1253900,0000000,1,,
S1253500,0000000,1,,
S1253400,0000000,1,,
S1253300,0000000,1,,
S1253200,0000000,1,,
S1253000,0000000,1,,
S1252900,0000000,1,,
S1252800,0000000,1,,
S1252700,0000010,1,,
S1252600,0000000,1,,
S1252400,0000000,1,,
S1252300,0000009,1,,
S1252200,0000000,1,,
S1252100,0000000,1,,
S1251700,0000000,1,,
S1251600,0000000,1,,
S1251400,0000000,1,,
S1251000,0000000,1,,
S1250900,0000000,1,,
S1250800,0000000,1,,
S1250600,0000000,1,,
S1250400,0000000,1,,
S1250300,0000000,1,,
S1250200,0000000,1,,
S1250100,0000000,1,,
S1250000,0000000,1,,
S1226800,0000000,1,,
S1226700,0000100,1,,
S1226600,0000103,1,,
S1226500,0000165,1,,
S1226400,0000000,1,,
S1226300,0000000,1,,
S1226200,0000000,1,,
S1226100,0000000,1,,
S1225400,0000180,1,,
S1225000,0000000,1,,
S1224900,0000100,1,,
S1224800,0000000,1,,
S1224700,0000000,1,,
S1224600,0000000,1,,
S1224500,0000000,1,,
S1224400,0000000,1,,
S1224300,0000000,1,,
S1224100,0000000,1,,
S1224000,0000000,1,,
S1223900,0000013,1,,
S1223800,0000289,1,,
S1223700,0000000,1,,
S1223600,0000000,1,,
S1223500,0000000,1,,
S1223400,0000000,1,,
S1223200,0000000,1,,
S1223100,0000000,1,,
S1223000,0000000,1,,
S1222900,0000000,1,,
S1222800,0000000,1,,
S1222700,0000000,1,,
S1222600,0000000,1,,
S1222400,0000000,1,,
S1222300,0000000,1,,
S1222100,0000000,1,,
S1221900,0000000,1,,
S1221800,0000200,1,,
S1221700,0000075,1,,
S1221600,0000020,1,,
S1221500,0000110,1,,
S1221400,0000201,1,,
S1221300,0000391,1,,
S1221200,0000001,1,,
S1221100,0000000,1,,
S1221000,0000010,1,,
S1220900,0000080,1,,
S1220800,0000000,1,,
S1220700,0000000,1,,
S1220600,0000000,1,,
S1220500,0000000,1,,
S1220400,0000000,1,,
S1220300,0000000,1,,
S1220200,0000000,1,,
S1220100,0000000,1,,
S1220000,0000000,1,,
S1219900,0000000,1,,
S1219800,0000000,1,,
S1219700,0000000,1,,
S1219600,0000000,1,,
S1219300,0000000,1,,
S1219200,0000000,1,,
S1219000,0000001,1,,
S1218900,0000300,1,,
S1218800,0000000,1,,
S1216800,0000000,1,,
S1216100,0000000,1,,
S1215900,0000000,1,,
S1215800,0000000,1,,
S1215200,0000000,1,,
S1215000,0000000,1,,
S1214900,0000068,1,,
S1214600,0000050,1,,
S1214500,0000523,1,,
S1214400,0000191,1,,
S1214300,0000100,1,,
S1214200,0000000,1,,
S1214100,0000403,1,,
S1214000,0000000,1,,
S1213900,0000010,1,,
S1213800,0000000,1,,
S1213700,0000140,1,,
S1213600,0000049,1,,
S1213500,0000000,1,,
S1213300,0000000,1,,
S1213200,0000000,1,,
S1213100,0003024,1,,
S1213000,0000000,1,,
S1211700,0000000,1,,
S1210800,0000048,1,,
S1210600,0000000,1,,
S1210400,0000000,1,,
S1210300,0000000,1,,
S1210200,0000000,1,,
S1210100,0000000,1,,
S1210000,0000000,1,,
S1209900,0000000,1,,
S1209600,0000000,1,,
S1209400,0000000,1,,
S1209200,0000000,1,,
S1209100,0000000,1,,
S1209000,0000000,1,,
S1208900,0000000,1,,
S1208500,0000005,1,,
S1208000,0000000,1,,
S1207300,0000000,1,,
S1207200,0000000,1,,
S1206700,0000000,1,,
S1206200,0000000,1,,
S1205300,0000000,1,,
S1204800,0000000,1,,
S1204600,0000000,1,,
S1203900,0000000,1,,
S1203800,0000000,1,,
S1203600,0000000,1,,
S1203500,0000000,1,,
S1203400,0000000,1,,
S1203300,0000000,1,,
S1203200,0000000,1,,
S1203100,0000000,1,,
S1203000,0000000,1,,
S1202700,0000000,1,,
S1202600,0000000,1,,
S1202500,0000000,1,,
S1202200,0000139,1,,
S1201900,0000000,1,,
S1201800,0000010,1,,
S1201600,0000000,1,,
S1201500,0000000,1,,
S1201300,0000099,1,,
S1201200,0000000,1,,
S1201000,0000000,1,,
S1200900,0000000,1,,
S1200800,0000000,1,,
S1200700,0000000,1,,
S1200600,0000000,1,,
S1200500,0000000,1,,
S1200400,0000000,1,,
S1200300,0000000,1,,
S1200200,0000000,1,,
S1200100,0000000,1,,
S1200000,0000000,1,,
S1100118,0000005,1,,
S1100106,0000248,1,,
S1100104,0000050,1,,
S1100079,0000010,1,,
S1100078,0000099,1,,
S1100077,0000008,1,,
S1100075,0000207,1,,
S1100064,0000038,1,,
S1100061,0000026,1,,
S1100045,0000033,1,,
S1100042,0000010,1,,
S1100041,0000097,1,,
S1100038,0000099,1,,
S1100035,0000200,1,,
S1100033,0000003,1,,
S1100029,0000006,1,,
S1100023,0000092,1,,
S1100018,0000023,1,,
S1100017,0000018,1,,
S1100015,0000098,1,,
S1100014,0000093,1,,
S1100011,0000094,1,,
S1100010,0000031,1,,
S1100008,0000003,1,,
S1095100,0000000,1,,
S1093800,0000002,1,,
S1093700,0000042,1,,
S1093600,0000070,1,,
S1093500,0000057,1,,
S1093400,0000026,1,,
S1093300,0000077,1,,
S1093200,0000005,1,,
S1093100,0000030,1,,
S1093000,0000000,1,,
S1092900,0000000,1,,
S1092800,0000020,1,,
S1092700,0000018,1,,
S1092600,0000077,1,,
S1092500,0000012,1,,
S1092400,0000014,1,,
S1092300,0000029,1,,
S1092200,0000000,1,,
S1092100,0000071,1,,
S1091800,0000000,1,,
S1091700,0000063,1,,
S1091600,0000009,1,,
S1091500,0000039,1,,
S1091400,0000000,1,,
S1091300,0000000,1,,
S1091200,0000006,1,,
S1091100,0000007,1,,
S1091000,0000028,1,,
S109100,0000000,1,,
S1090900,0000039,1,,
S1090800,0000040,1,,
S1090700,0000052,1,,
S1090600,0000055,1,,
S1090500,0000057,1,,
S1090400,0000221,1,,
S1090300,0000036,1,,
S1090200,0000006,1,,
